source,target,weight,sourceLabel,targetLabel
42,453,3,Bhagya_sri113,Gyanvapi_Mosque
41,453,8,Extorc,Gyanvapi_Mosque
40,453,1,Kayiwhitebeards,Gyanvapi_Mosque
38,453,3,Sajaypal007,Gyanvapi_Mosque
36,453,26,Rasnaboy,Gyanvapi_Mosque
33,453,1,Gowhk8,Gyanvapi_Mosque
32,453,2,Useless3078,Gyanvapi_Mosque
31,453,1,47.8.125.122,Gyanvapi_Mosque
29,453,3,Stormbird,Gyanvapi_Mosque
28,453,1,Feanor0,Gyanvapi_Mosque
25,453,10,178.80.111.139,Gyanvapi_Mosque
23,453,2,Ritvik_S,Gyanvapi_Mosque
19,453,2,Yuyutsu_Ho,Gyanvapi_Mosque
13,453,4,Delljvc,Gyanvapi_Mosque
8,453,2,118.99.71.152,Gyanvapi_Mosque
7,453,2,Scottywong,Gyanvapi_Mosque
4,453,10,Lordofallhearts,Gyanvapi_Mosque
3,453,90,Utcursch,Gyanvapi_Mosque
2,453,50,Kautilya3,Gyanvapi_Mosque
1,453,292,TrangaBellam,Gyanvapi_Mosque
20,11855,1727,पाटलिपुत्र,Kizil_Caves
10,16728,1691,Billjones94,List_of_foreign_football_players_in_India
10,16729,895,Billjones94,List_of_Indian_football_players_in_foreign_leagues
36,43,831,Rasnaboy,Kural
20,11856,660,पाटलिपुत्र,Hephthalites
20,11857,645,पाटलिपुत्र,Sanchi
20,11858,635,पाटलिपुत्र,Art_of_Mathura
20,11859,609,पाटलिपुत्र,Turk_Shahis
10,16730,543,Billjones94,Mohammedan_SC_(Kolkata)
36,100,511,Rasnaboy,Chennai_Port
20,11860,471,पाटलिपुत्र,Alchon_Huns
42,43,461,Bhagya_sri113,Kural
36,862,444,Rasnaboy,Arignar_Anna_Zoological_Park
20,11861,423,पाटलिपुत्र,Ajanta_Caves
20,11862,409,पाटलिपुत्र,Achaemenid_conquest_of_the_Indus_Valley
1,21034,364,TrangaBellam,Baidya
36,97,354,Rasnaboy,Marina_Beach
36,77,332,Rasnaboy,Chennai_International_Airport
17,12902,327,Shyamsunder,List_of_people_from_Rajasthan
3,19606,325,Utcursch,Mohammed_Rafi
3,3023,322,Utcursch,Bhopal
2,3393,321,Kautilya3,Kashmir_conflict
20,11863,318,पाटलिपुत्र,Western_Satraps
3,19558,314,Utcursch,Alauddin_Khalji
20,11864,312,पाटलिपुत्र,Edicts_of_Ashoka
26,8360,310,AKS.9955,16th_Uttar_Pradesh_Assembly
3,19607,309,Utcursch,2008_Noida_double_murder_case
36,67,305,Rasnaboy,Chennai
20,11865,274,पाटलिपुत्र,Kushan_Empire
10,16731,264,Billjones94,Churchill_Brothers_FC_Goa
3,1584,260,Utcursch,Paramara_dynasty
20,11866,247,पाटलिपुत्र,Nasik_Caves
20,11867,246,पाटलिपुत्र,Indus–Mesopotamia_relations
36,47,246,Rasnaboy,Tirukkural_translations
20,11868,244,पाटलिपुत्र,Major_Rock_Edicts
20,11869,243,पाटलिपुत्र,Pillars_of_Ashoka
10,16732,240,Billjones94,Mahindra_United_FC
36,83,238,Rasnaboy,Chennai_Central_railway_station
10,16733,235,Billjones94,Dempo_SC
3,1112,232,Utcursch,Prithviraj_Chauhan
20,11870,229,पाटलिपुत्र,Brahmi_script
3,18087,229,Utcursch,Kishore_Kumar
20,11871,224,पाटलिपुत्र,Kidarites
3,11885,223,Utcursch,Satavahana_dynasty
20,11872,222,पाटलिपुत्र,Tokhara_Yabghus
10,16734,221,Billjones94,Gokulam_Kerala_FC
20,11873,221,पाटलिपुत्र,Indo-Greek_Kingdom
20,11874,220,पाटलिपुत्र,Minor_Rock_Edicts
3,15491,217,Utcursch,Gurjar
20,11876,211,पाटलिपुत्र,Hindu_Shahis
20,11875,211,पाटलिपुत्र,Hyksos
20,11877,210,पाटलिपुत्र,Heliodorus_pillar
36,44,209,Rasnaboy,Parimelalhagar
1,11876,208,TrangaBellam,Hindu_Shahis
36,2899,204,Rasnaboy,Chennai_Mass_Rapid_Transit_System
2,20287,201,Kautilya3,Article_370_of_the_Constitution_of_India
3,1819,200,Utcursch,Bhoja
