text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"I'm still asking you to believe - not in my ability to bring about change, but in yours. I believe in change because I believe in you.",FALSE,799385,POTUS44,2017-01-20 14:13:35,FALSE,8.224463347876E+017,8.22446982648201E+017,1536791610,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,332596,FALSE,FALSE,NA,NA
"As we look forward, I want our first steps to reflect what matters most to you. Share your thoughts with me at https://t.co/fGUxlpLVue.",FALSE,206717,POTUS44,2017-01-20 14:11:01,FALSE,8.22446040729158E+017,8.224463347876E+017,1536791610,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,56101,FALSE,FALSE,NA,NA
"I won't stop; I'll be right there with you as a citizen, inspired by your voices of truth and justice, good humor, and love.",FALSE,595517,POTUS44,2017-01-20 14:09:51,FALSE,8.22445882247414E+017,8.22446040729158E+017,1536791610,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,209368,FALSE,FALSE,NA,NA
It's been the honor of my life to serve you. You made me a better leader and a better man.,FALSE,1597133,NA,2017-01-20 14:09:13,FALSE,NA,8.22445882247414E+017,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,603855,FALSE,FALSE,NA,NA
"Proud to make this one of my final actions as President. America is a nation of second chances, and 1,715 people de… https://t.co/vZLJa9SweM",FALSE,225418,NA,2017-01-19 20:39:46,TRUE,NA,8.22181779217982E+017,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,65885,FALSE,FALSE,NA,NA
"To the girl from the South Side who took on a role she didn't ask for and made it her own: Happy Birthday, Michelle… https://t.co/cFWec1RQN0",FALSE,1163336,NA,2017-01-17 14:59:24,TRUE,NA,8.21371347012088E+017,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,337823,FALSE,FALSE,NA,NA
"From one 44 to another, thanks for finally giving @FLOTUS and generations of hopeful fans a @Cubs championship. https://t.co/RnLyTYF2ub",FALSE,91713,NA,2017-01-17 00:10:24,FALSE,NA,8.211476264228E+017,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,16403,FALSE,FALSE,NA,NA
"In honor of their legacy, @FLOTUS and I are joining Americans across the country in a day of service to our community here in D.C. #MLKDay",FALSE,66155,POTUS44,2017-01-16 19:50:31,FALSE,8.21081947728413E+017,8.21082223910781E+017,1536791610,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,11123,FALSE,FALSE,NA,NA
"Dr. King and those who marched with him proved that people who love their country can change it. As Americans, we all owe them a great deal.",FALSE,211460,NA,2017-01-16 19:49:25,FALSE,NA,8.21081947728413E+017,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,66888,FALSE,FALSE,NA,NA
"That is out of this world. Thanks, @NASA. https://t.co/R8CSjAwt2E",FALSE,174415,NA,2017-01-12 23:57:07,FALSE,NA,8.19694728665006E+017,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,44048,FALSE,FALSE,NA,NA
