"Source","Target","Type","Weight"
"768296","768296","Directed","1"
"768296","474820","Directed","1"
"768296","11093728","Directed","1"
"10501607","10515630","Directed","1"
"10501607","10515627","Directed","1"
"10501607","10515629","Directed","1"
"10501607","10515628","Directed","1"
"8001235","11545743","Directed","2"
"8001235","11545748","Directed","2"
"8001235","11545741","Directed","2"
"8001235","5747003","Directed","2"
"8001235","11545746","Directed","2"
"8001235","11545742","Directed","2"
"8001235","11545745","Directed","2"
"8001235","11545747","Directed","2"
"8001235","9783837","Directed","2"
"8001235","11545744","Directed","2"
"8001235","11542822","Directed","2"
"8001235","11542827","Directed","2"
"8001235","11542820","Directed","2"
"8001235","11542825","Directed","2"
"8001235","11542821","Directed","2"
"8001235","11542824","Directed","2"
"8001235","11542826","Directed","2"
"8001235","8071218","Directed","1"
"8001235","11542823","Directed","2"
"12338222","12388990","Directed","2"
"12338222","4381050","Directed","1"
"12338222","1694101","Directed","1"
"12338222","12393198","Directed","2"
"12338222","4425657","Directed","1"
"12338222","906226","Directed","1"
"12144178","12144178","Directed","1"
"12389677","12389677","Directed","1"
"12389677","13624201","Directed","1"
"11656810","11656813","Directed","1"
"11656810","11656812","Directed","1"
"11656810","11656811","Directed","1"
"4992730","3493635","Directed","1"
"4992730","11223957","Directed","1"
"4992730","11223958","Directed","1"
"4992730","11227871","Directed","1"
"4992730","11227878","Directed","1"
"4992730","7197041","Directed","1"
"4992730","11671119","Directed","1"
"4992730","11227879","Directed","1"
"4992730","11227972","Directed","1"
"4992730","11227873","Directed","1"
"4992730","11227872","Directed","1"
"4992730","11227876","Directed","1"
"4992730","11227874","Directed","1"
"4992730","11227875","Directed","1"
"4992730","11227877","Directed","1"
"11112112","11112114","Directed","1"
"11112112","83238","Directed","1"
"11112112","451272","Directed","1"
"11112112","9260664","Directed","1"
"11112112","11112113","Directed","1"
"11112112","11112117","Directed","1"
"11112112","7367309","Directed","1"
"11112112","11112116","Directed","1"
"11112112","11112115","Directed","1"
"11112112","9487097","Directed","1"
"9745490","8241976","Directed","1"
"9745490","5576978","Directed","1"
"9745490","13693533","Directed","1"
"9745490","11501888","Directed","1"
"9745490","6226783","Directed","1"
"9745490","3271899","Directed","1"
"5527090","10724853","Directed","1"
"5527090","10724858","Directed","1"
"5527090","10724856","Directed","1"
"5527090","10724851","Directed","1"
"5527090","10724857","Directed","1"
"5527090","10724852","Directed","1"
"5527090","10724860","Directed","1"
"5527090","10724855","Directed","1"
"5527090","10724859","Directed","1"
"5527090","10724854","Directed","1"
"10963295","10963295","Directed","1"
"10963295","10628743","Directed","1"
"10963295","9583805","Directed","1"
"10963295","10963297","Directed","1"
"10963295","13205097","Directed","1"
"10963295","13504200","Directed","1"
"10963295","13504197","Directed","1"
"10963295","13507138","Directed","1"
"10963295","13504198","Directed","1"
"10963295","10963304","Directed","1"
"10963295","13504196","Directed","1"
"10963295","13504199","Directed","1"
"10963295","13504876","Directed","1"
"10963295","13504201","Directed","1"
"10963295","13504203","Directed","1"
"10963295","10963303","Directed","1"
"10963295","8134737","Directed","1"
"10963295","9208964","Directed","1"
"10990646","2287420","Directed","1"
"10990646","2741274","Directed","1"
"6679620","10789578","Directed","1"
"12681972","12681973","Directed","1"
"12681972","12681974","Directed","1"
"12576419","12576421","Directed","1"
